"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"58040",15,2,"binding2","5","herself",744,"Mr. Johnson said that the woman taught herself how to cook last year.",744,"15/5",744,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"64877",18,2,"binding2","5","herself",1251,"Mr. Johnson said that the woman taught herself how to cook last year.",1251,"18/5",NA,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"74296",21,2,"binding2","5","herself",807,"Mr. Johnson said that the woman taught herself how to cook last year.",807,"21/5",807,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"82246",23,2,"binding2","5","herself",1706,"Mr. Johnson said that the woman taught herself how to cook last year.",1706,"23/5",NA,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"130847",39,2,"binding2","5","herself",882,"Mr. Johnson said that the woman taught herself how to cook last year.",882,"39/5",882,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"138894",42,2,"binding2","5","herself",532,"Mr. Johnson said that the woman taught herself how to cook last year.",532,"42/5",532,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"141637",43,2,"binding2","5","herself",411,"Mr. Johnson said that the woman taught herself how to cook last year.",411,"43/5",411,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"15051",1,2,"binding3","5","himself",470,"Mr. Johnson said that the woman taught himself how to cook last year.",470,"1/5",470,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"28115",4,2,"binding3","5","himself",541,"Mr. Johnson said that the woman taught himself how to cook last year.",541,"4/5",541,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"33055",6,2,"binding3","5","himself",41,"Mr. Johnson said that the woman taught himself how to cook last year.",NA,"6/5",NA,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"41054",9,2,"binding3","5","himself",493,"Mr. Johnson said that the woman taught himself how to cook last year.",493,"9/5",493,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"49356",12,2,"binding3","5","himself",428,"Mr. Johnson said that the woman taught himself how to cook last year.",428,"12/5",428,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"60426",16,2,"binding3","5","himself",568,"Mr. Johnson said that the woman taught himself how to cook last year.",568,"16/5",568,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"67137",19,2,"binding3","5","himself",628,"Mr. Johnson said that the woman taught himself how to cook last year.",628,"19/5",628,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"80958",22,2,"binding3","5","himself",569,"Mr. Johnson said that the woman taught himself how to cook last year.",569,"22/5",569,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"86389",24,2,"binding3","5","himself",595,"Mr. Johnson said that the woman taught himself how to cook last year.",595,"24/5",595,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"90715",25,2,"binding3","5","himself",739,"Mr. Johnson said that the woman taught himself how to cook last year.",739,"25/5",739,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
