"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"160931",48,2,"binding4","6","how to cook",667,"Miss Kelly said that the woman taught himself how to cook last year.",667,"48/6",667,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"162491",49,2,"binding4","6","how to cook",556,"Miss Kelly said that the woman taught himself how to cook last year.",556,"49/6",556,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"22231",2,3,"binding1","6","happily",244,"Miss Kim heard that the queen talked about herself happily at the party.",244,"2/6",244,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"62876",17,3,"binding1","6","happily",458,"Miss Kim heard that the queen talked about herself happily at the party.",458,"17/6",458,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"97049",27,3,"binding1","6","happily",158,"Miss Kim heard that the queen talked about herself happily at the party.",158,"27/6",158,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"107573",31,3,"binding1","6","happily",766,"Miss Kim heard that the queen talked about herself happily at the party.",766,"31/6",766,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"115103",33,3,"binding1","6","happily",675,"Miss Kim heard that the queen talked about herself happily at the party.",675,"33/6",675,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"118385",34,3,"binding1","6","happily",490,"Miss Kim heard that the queen talked about herself happily at the party.",490,"34/6",490,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"159986",48,3,"binding1","6","happily",514,"Miss Kim heard that the queen talked about herself happily at the party.",514,"48/6",514,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"163352",49,3,"binding1","6","happily",414,"Miss Kim heard that the queen talked about herself happily at the party.",414,"49/6",414,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"25660",3,3,"binding2","6","happily",525,"Mr. Williams heard that the queen talked about herself happily at the party.",525,"3/6",525,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"30439",5,3,"binding2","6","happily",351,"Mr. Williams heard that the queen talked about herself happily at the party.",351,"5/6",351,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"35883",7,3,"binding2","6","happily",636,"Mr. Williams heard that the queen talked about herself happily at the party.",636,"7/6",636,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"37968",8,3,"binding2","6","happily",710,"Mr. Williams heard that the queen talked about herself happily at the party.",710,"8/6",710,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"47607",11,3,"binding2","6","happily",573,"Mr. Williams heard that the queen talked about herself happily at the party.",573,"11/6",573,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"71735",20,3,"binding2","6","happily",565,"Mr. Williams heard that the queen talked about herself happily at the party.",565,"20/6",565,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"94572",26,3,"binding2","6","happily",404,"Mr. Williams heard that the queen talked about herself happily at the party.",404,"26/6",404,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"102157",29,3,"binding2","6","happily",500,"Mr. Williams heard that the queen talked about herself happily at the party.",500,"29/6",500,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"109386",32,3,"binding2","6","happily",529,"Mr. Williams heard that the queen talked about herself happily at the party.",529,"32/6",529,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"126635",37,3,"binding2","6","happily",485,"Mr. Williams heard that the queen talked about herself happily at the party.",485,"37/6",485,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"127769",38,3,"binding2","6","happily",570,"Mr. Williams heard that the queen talked about herself happily at the party.",570,"38/6",570,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"134578",40,3,"binding2","6","happily",1226,"Mr. Williams heard that the queen talked about herself happily at the party.",1226,"40/6",1226,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"135123",41,3,"binding2","6","happily",841,"Mr. Williams heard that the queen talked about herself happily at the party.",841,"41/6",841,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"146095",45,3,"binding2","6","happily",569,"Mr. Williams heard that the queen talked about herself happily at the party.",569,"45/6",569,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"152198",46,3,"binding2","6","happily",498,"Mr. Williams heard that the queen talked about herself happily at the party.",498,"46/6",498,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
