"","subject","item","list","phrase","word","rt","sentence","accessible_G","inaccessible_G","accessible","inaccessible"
"142709",43,1,"binding1","6","with a knife",777,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"142710",43,1,"binding1","7","while cooking.",1489,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"14249",1,1,"binding2","1","Mr. Smith",459,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"14250",1,1,"binding2","2","said that",764,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"14251",1,1,"binding2","3","the girl",536,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"14252",1,1,"binding2","4","cut",923,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"14253",1,1,"binding2","5","herself",1045,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"14254",1,1,"binding2","6","with a knife",1086,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"14255",1,1,"binding2","7","while cooking.",1290,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27027",4,1,"binding2","1","Mr. Smith",660,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27041",4,1,"binding2","2","said that",651,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27042",4,1,"binding2","3","the girl",784,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27043",4,1,"binding2","4","cut",565,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27044",4,1,"binding2","5","herself",622,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27045",4,1,"binding2","6","with a knife",1398,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"27046",4,1,"binding2","7","while cooking.",1048,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32400",6,1,"binding2","1","Mr. Smith",463,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32401",6,1,"binding2","2","said that",466,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32402",6,1,"binding2","3","the girl",462,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32403",6,1,"binding2","4","cut",464,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32404",6,1,"binding2","5","herself",409,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32405",6,1,"binding2","6","with a knife",327,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"32406",6,1,"binding2","7","while cooking.",571,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"40050",9,1,"binding2","1","Mr. Smith",631,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
