"subject","item","rt","accessible","inaccessible","group","region","trial","accessible_g","inaccessible_g","group_g","region_g"
"Native 70",2,"432",-1,-1,-1,1,"Native 70 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 71",2,"784",-1,-1,-1,-1,"Native 71 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 71",2,"684",-1,-1,-1,1,"Native 71 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 72",2,"208",-1,-1,-1,-1,"Native 72 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 72",2,"216",-1,-1,-1,1,"Native 72 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 1",2,"333",-1,1,-1,-1,"Native 1 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 1",2,"336",-1,1,-1,1,"Native 1 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 2",2,"570",-1,1,-1,-1,"Native 2 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 2",2,"683",-1,1,-1,1,"Native 2 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 3",2,"742",-1,1,-1,-1,"Native 3 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 3",2,"448",-1,1,-1,1,"Native 3 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 4",2,"586",-1,1,-1,-1,"Native 4 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 4",2,"554",-1,1,-1,1,"Native 4 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 5",2,"449",-1,1,-1,-1,"Native 5 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 5",2,"361",-1,1,-1,1,"Native 5 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 6",2,"383",-1,1,-1,-1,"Native 6 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 6",2,"536",-1,1,-1,1,"Native 6 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 7",2,"576",-1,1,-1,-1,"Native 7 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
